table,original_field,normalized_field,raw_field,dtype,rule
events,Date operations was returned to normal service,normal_service_date,raw__normal_service_date,datetime64[us],parse %m/%d/%Y %I:%M:%S %p; naive timestamp; never convert to UTC
events,Nature of Break,break_nature,raw__break_nature,string,trim outer whitespace; blank to missing; raw value preserved
events,Apparent cause of break,break_cause,raw__break_cause,string,trim outer whitespace; blank to missing; raw value preserved
events,Repair Type,repair_type,raw__repair_type,string,trim outer whitespace; blank to missing; raw value preserved
events,Type of Planned Maintenance,planned_maintenance_type,raw__planned_maintenance_type,string,trim outer whitespace; blank to missing; raw value preserved
events,List Valves Closed,valves_closed,raw__valves_closed,string,trim outer whitespace; blank to missing; raw value preserved
events,List Valves Opened,valves_opened,raw__valves_opened,string,trim outer whitespace; blank to missing; raw value preserved
events,List Hydrants Called Out,hydrants_called_out,raw__hydrants_called_out,string,trim outer whitespace; blank to missing; raw value preserved
events,List Hydrants Called Back In,hydrants_called_back_in,raw__hydrants_called_back_in,string,trim outer whitespace; blank to missing; raw value preserved
events,Categorization of the Break,break_category,raw__break_category,string,trim outer whitespace; blank to missing; raw value preserved
events,Road Segment ID,road_segment_id,raw__road_segment_id,string,trim outer whitespace; blank to missing; raw value preserved
events,Closest Civic Number,closest_civic_number,raw__closest_civic_number,string,trim outer whitespace; blank to missing; raw value preserved
events,Street,street,raw__street,string,trim outer whitespace; blank to missing; raw value preserved
events,Related Asset ID,related_asset_id,raw__related_asset_id,string,trim outer whitespace; blank to missing; raw value preserved
events,Related Asset Depth (m),asset_depth_m,raw__asset_depth_m,Float64,parse numeric; invalid to missing; raw value preserved
events,Depth of Frost (m),frost_depth_m,raw__frost_depth_m,Float64,parse numeric; invalid to missing; raw value preserved
events,Asset Size (cm),asset_size_reported,raw__asset_size_reported,Float64,parse numeric; invalid to missing; raw value preserved; unit unresolved; NO centimetre conversion
events,Year Asset Installed,reported_installation_year,raw__reported_installation_year,Float64,parse numeric; invalid to missing; raw value preserved
events,Asset Material,asset_material,raw__asset_material,string,trim outer whitespace; blank to missing; raw value preserved
events,Asset Exists,asset_exists,raw__asset_exists,string,trim outer whitespace; blank to missing; raw value preserved
events,GLOBALID,global_id,raw__global_id,string,trim outer whitespace; blank to missing; raw value preserved
events,UPDATE_BY,update_by,raw__update_by,string,trim outer whitespace; blank to missing; raw value preserved
events,UPDATE_DATE,update_date,raw__update_date,datetime64[us],parse %m/%d/%Y %I:%M:%S %p; naive timestamp; never convert to UTC
events,x,x,raw__x,Float64,parse numeric; invalid to missing; raw value preserved
events,y,y,raw__y,Float64,parse numeric; invalid to missing; raw value preserved
